,Importance
Moisture Percentage,0.12824493026193517
Altitude,0.11693941669256468
Bag Weight,0.0819687398810325
Number of Bags Log,0.07872945382338235
Category Two Defects,0.07861482666461282
Variety_gesha,0.05119840288939896
Quakers,0.042359175011215736
Variety_other,0.04181550375101094
Harvest Year,0.029671926920111436
Country_taiwan,0.028951738292946304
Processing Method_natural,0.027718271579440817
Color_green,0.021287363794930337
Color_greenish,0.020925549542421495
Processing Method_washed,0.02054842713073941
Color_yellow-green,0.016477761469398288
Variety_unknown,0.016292757113268545
Category One Defects,0.01475903911111043
Variety_typica,0.014406664783651523
Country_ethiopia,0.012612736608062208
Country_guatemala,0.010536776658310326
Country_colombia,0.010301775484833641
Country_thailand,0.010154434152494674
Variety_caturra,0.010070190614836558
Color_brownish,0.009714553679959256
Variety_catimor,0.00938887916164776
Processing Method_other,0.007929324164982586
Country_peru,0.007792259513293752
Color_bluish-green,0.007397107388776803
Country_el salvador,0.007092951572650524
Country_mexico,0.006562978351395434
Country_honduras,0.005872972283496731
Variety_catuai,0.0058566795086457705
Color_yellow,0.005594542488086784
Variety_sl34,0.0052414221938108805
Variety_ethiopian heirlooms,0.0050277175933741295
Country_laos,0.004979680568013042
Country_tanzania,0.0037619444742279877
Country_uganda,0.0037048188494481996
Country_usa,0.00361727214849489
Country_nicaragua,0.003520942559424978
Color_pale yellow,0.003097833131215328
Country_vietnam,0.002720429055378349
Country_costa rica,0.0020802995047037374
Country_indonesia,0.0017467260371004734
Country_kenya,0.0014816652328774327
Country_madagascar,0.0007639982507497527
Country_panama,0.00046714005653619066
Country_myanmar,0.0
Color_browish-green,0.0
