Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Country,Processing Method,Processing Simple,Category One Defects,Category Two Defects,Cluster,Cluster Name
8.58,8.5,8.42,8.58,8.25,8.42,8.58,Colombia,Double Anaerobic Washed,Washed,0,3,0,Premium
8.5,8.5,7.92,8.0,7.92,8.25,8.5,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.33,8.42,8.08,8.17,7.92,8.17,8.33,Laos,Semi Washed,Washed,0,2,0,Premium
8.08,8.17,8.17,8.25,8.17,8.08,8.25,Costa Rica,Washed / Wet,Washed,0,0,0,Premium
8.33,8.33,8.08,8.25,7.92,7.92,8.25,Colombia,"Honey,Mossto",Honey,0,2,0,Premium
8.33,8.33,8.25,7.83,7.83,8.17,8.25,Guatemala,Washed / Wet,Washed,0,2,0,Premium
8.33,8.17,8.08,8.0,7.83,8.25,8.25,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.25,8.25,8.17,8.0,7.92,8.08,8.08,Taiwan,Natural / Dry,Natural,0,1,0,Premium
8.08,8.08,8.25,8.08,7.92,8.0,8.25,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.08,8.17,8.08,8.17,8.0,8.0,8.0,"Tanzania, United Republic Of",Washed / Wet,Washed,0,0,0,Premium
8.08,8.25,8.0,8.08,7.92,7.92,8.0,Ethiopia,Natural / Dry,Natural,0,1,0,Premium
8.08,8.0,8.0,7.75,8.25,8.17,8.0,Guatemala,Natural / Dry,Natural,0,1,0,Premium
8.08,8.0,8.08,8.08,8.0,8.0,8.0,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.67,8.17,8.0,8.33,8.0,8.0,8.0,Ethiopia,Natural / Dry,Natural,0,2,0,Premium
8.08,8.0,8.08,7.92,8.08,8.0,8.0,Colombia,Washed / Wet,Washed,0,0,0,Premium
8.17,8.08,8.0,7.92,8.0,7.92,8.0,Taiwan,Pulped natural / honey,Honey,0,0,0,Premium
8.17,8.08,7.92,8.17,7.75,7.92,8.08,Ethiopia,Washed / Wet,Washed,0,2,0,Premium
8.0,8.17,8.0,7.92,7.92,7.92,8.17,Taiwan,Natural / Dry,Natural,0,0,0,Premium
8.08,8.17,7.75,7.92,7.83,8.0,8.17,Taiwan,Natural / Dry,Natural,0,1,0,Premium
8.17,8.0,7.92,7.92,8.17,7.75,7.92,"Tanzania, United Republic Of",Washed / Wet,Washed,0,0,0,Premium
8.0,7.92,8.08,7.92,7.75,8.0,8.08,Guatemala,Natural / Dry,Natural,0,0,0,Premium
8.08,8.0,7.92,7.92,8.0,7.83,7.92,Taiwan,Natural / Dry,Natural,0,0,0,Premium
7.67,8.0,7.83,8.0,8.08,8.0,8.08,Thailand,Pulped natural / honey,Honey,0,5,0,Premium
8.08,8.0,7.83,8.17,7.75,7.83,8.0,Colombia,,Other,0,2,0,Premium
7.83,8.0,7.92,8.0,8.0,7.92,7.92,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.83,8.08,7.83,7.92,8.0,7.83,8.0,Brazil,Pulped natural / honey,Honey,2,3,0,Premium
7.92,7.92,8.0,7.92,7.83,7.92,8.0,Taiwan,Natural / Dry,Natural,0,2,0,Premium
8.17,8.08,7.92,8.0,7.58,7.83,7.92,Taiwan,Natural / Dry,Natural,0,0,0,Premium
8.0,8.0,8.0,7.92,7.75,7.92,7.92,Taiwan,Natural / Dry,Natural,0,0,0,Premium
8.0,7.92,8.0,7.83,7.67,8.0,8.0,United States (Hawaii),Washed / Wet,Washed,0,0,0,Premium
8.0,8.0,7.83,7.83,7.75,7.92,8.08,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.92,8.0,7.83,7.92,7.83,7.83,8.0,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.08,8.17,7.67,7.83,7.67,7.92,8.0,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.67,7.83,7.83,8.0,8.0,8.0,8.0,Ethiopia,Washed / Wet,Washed,0,3,0,Premium
8.0,8.08,8.0,8.0,7.67,7.75,7.83,Ethiopia,Natural / Dry,Natural,0,4,0,Premium
7.92,7.75,7.83,8.17,8.0,7.75,7.83,Ethiopia,Washed / Wet,Washed,0,1,0,Premium
8.0,7.92,7.83,7.92,7.83,7.83,7.92,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.25,8.08,7.83,7.75,7.67,7.75,7.92,Taiwan,Pulped natural / honey,Honey,0,0,0,Premium
8.17,7.75,7.83,7.58,7.92,8.0,8.0,Kenya,Washed / Wet,Washed,0,1,0,Premium
7.75,7.92,7.75,8.0,7.83,7.92,8.0,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.0,7.92,7.83,7.92,7.75,7.75,7.92,Taiwan,Natural / Dry,Natural,0,0,0,Premium
8.0,8.08,7.67,7.75,7.92,7.83,7.83,Taiwan,Washed / Wet,Washed,0,0,0,Premium
8.0,7.92,7.67,8.0,7.75,7.83,7.92,Taiwan,Washed / Wet,Washed,0,5,0,Premium
8.0,7.92,7.75,7.75,7.75,7.92,7.92,Uganda,Washed / Wet,Washed,0,1,0,Premium
7.92,8.0,7.92,8.0,7.58,7.75,7.83,Taiwan,,Other,0,0,0,Premium
8.17,8.08,7.83,7.67,7.67,7.75,7.83,Taiwan,Natural / Dry,Natural,0,0,0,Premium
7.67,8.08,7.67,8.0,7.92,7.83,7.83,Guatemala,Washed / Wet,Washed,0,1,0,Premium
7.67,8.0,7.75,7.92,8.0,7.83,7.83,Guatemala,Washed / Wet,Washed,0,4,0,Premium
7.83,7.92,7.75,8.0,7.75,7.75,7.92,Guatemala,Washed / Wet,Washed,0,1,0,Premium
7.92,7.92,7.83,7.83,7.75,7.83,7.83,Taiwan,Washed / Wet,Washed,0,2,0,Premium
8.0,8.0,7.75,7.75,7.67,7.75,7.92,Taiwan,Natural / Dry,Natural,0,0,0,Premium
7.83,7.92,7.75,7.83,7.83,7.83,7.83,Indonesia,,Other,0,2,0,Premium
8.0,8.0,7.83,7.83,7.58,7.83,7.75,Peru,Washed / Wet,Washed,0,0,0,Premium
7.92,7.75,7.75,7.92,7.83,7.83,7.83,"Tanzania, United Republic Of",Washed / Wet,Washed,0,0,0,Premium
7.83,7.83,7.67,7.67,7.83,8.0,8.0,Taiwan,Natural / Dry,Natural,0,0,0,Premium
7.67,7.92,7.92,7.83,7.75,7.83,7.83,Taiwan,Washed / Wet,Washed,0,0,0,Premium
7.83,7.92,7.75,7.92,7.67,7.83,7.83,Brazil,Double Carbonic Maceration / Natural,Natural,0,5,0,Premium
7.83,7.83,7.75,7.92,7.83,7.75,7.83,Panama,Washed / Wet,Washed,0,5,0,Premium
7.92,8.08,7.67,7.92,7.67,7.75,7.75,Taiwan,Pulped natural / honey,Honey,0,0,0,Premium
7.67,8.0,7.67,7.83,7.92,7.67,7.92,Guatemala,Washed / Wet,Washed,0,1,0,Premium
7.83,8.0,7.67,7.83,7.75,7.75,7.83,Guatemala,Natural / Dry,Natural,0,2,0,Premium
7.58,7.83,7.5,7.67,7.83,7.67,8.58,Costa Rica,Washed / Wet,Washed,0,2,2,Standard
7.83,7.83,7.75,7.75,7.75,7.75,7.92,Taiwan,Pulped natural / honey,Honey,0,0,2,Standard
8.17,7.83,7.67,7.83,7.67,7.67,7.75,Taiwan,Pulped natural / honey,Honey,0,0,0,Premium
7.92,7.75,7.67,7.67,7.83,7.75,8.0,Nicaragua,Natural / Dry,Natural,1,2,2,Standard
8.08,7.83,7.67,7.67,7.67,7.75,7.92,Taiwan,Washed / Wet,Washed,0,2,2,Standard
7.83,8.0,7.67,7.75,7.67,7.75,7.92,Taiwan,Natural / Dry,Natural,0,0,2,Standard
8.0,7.83,7.75,7.67,7.58,7.83,7.92,Vietnam,Natural / Dry,Natural,0,0,2,Standard
7.75,7.83,7.67,7.83,7.75,7.75,7.92,Costa Rica,Washed / Wet,Washed,0,0,2,Standard
7.75,7.92,7.83,7.75,7.75,7.75,7.75,Taiwan,Pulped natural / honey,Honey,0,0,0,Premium
7.83,7.92,7.75,7.75,7.75,7.75,7.75,Honduras,Washed / Wet,Washed,0,3,0,Premium
7.92,7.83,7.75,7.92,7.58,7.67,7.83,Ethiopia,Washed / Wet,Washed,0,9,2,Standard
8.08,7.92,7.75,7.83,7.5,7.58,7.83,Taiwan,Natural / Dry,Natural,0,0,2,Standard
7.83,8.0,7.5,7.75,7.75,7.75,7.83,Taiwan,Washed / Wet,Washed,0,1,2,Standard
