Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Moisture Percentage,Altitude Clean,Category One Defects,Category Two Defects,Country Grouped,Processing Simple,Overall
8.58,8.5,8.42,8.58,8.25,8.42,11.8,1815.0,0,3,Colombia,Washed,8.58
8.5,8.5,7.92,8.0,7.92,8.25,10.5,1200.0,0,0,Taiwan,Washed,8.5
8.33,8.42,8.08,8.17,7.92,8.17,10.4,1300.0,0,2,Other,Washed,8.33
8.08,8.17,8.17,8.25,8.17,8.08,11.8,1900.0,0,0,Costa Rica,Washed,8.25
8.33,8.33,8.08,8.25,7.92,7.92,11.6,1975.0,0,2,Colombia,Honey,8.25
8.33,8.33,8.25,7.83,7.83,8.17,10.7,1668.0,0,2,Guatemala,Washed,8.25
8.33,8.17,8.08,8.0,7.83,8.25,9.1,1250.0,0,0,Taiwan,Washed,8.25
8.25,8.25,8.17,8.0,7.92,8.08,10.0,1200.0,0,1,Taiwan,Natural,8.08
8.08,8.08,8.25,8.08,7.92,8.0,10.8,1250.0,0,0,Taiwan,Washed,8.25
8.08,8.17,8.08,8.17,8.0,8.0,11.0,1550.0,0,0,"Tanzania, United Republic Of",Washed,8.0
8.08,8.25,8.0,8.08,7.92,7.92,11.8,2000.0,0,1,Ethiopia,Natural,8.0
8.08,8.0,8.0,7.75,8.25,8.17,11.5,2000.0,0,1,Guatemala,Natural,8.0
8.08,8.0,8.08,8.08,8.0,8.0,11.9,1250.0,0,0,Taiwan,Washed,8.0
7.67,8.17,8.0,8.33,8.0,8.0,11.6,1950.0,0,2,Ethiopia,Natural,8.0
8.08,8.0,8.08,7.92,8.08,8.0,10.6,1850.0,0,0,Colombia,Washed,8.0
8.17,8.08,8.0,7.92,8.0,7.92,10.2,1100.0,0,0,Taiwan,Natural,8.0
8.17,8.08,7.92,8.17,7.75,7.92,11.3,2000.0,0,2,Ethiopia,Washed,8.08
8.0,8.17,8.0,7.92,7.92,7.92,10.3,1300.0,0,0,Taiwan,Natural,8.17
8.08,8.17,7.75,7.92,7.83,8.0,11.0,1200.0,0,1,Taiwan,Natural,8.17
8.17,8.0,7.92,7.92,8.17,7.75,10.0,1585.0,0,0,"Tanzania, United Republic Of",Washed,7.92
8.0,7.92,8.08,7.92,7.75,8.0,11.6,1900.0,0,0,Guatemala,Natural,8.08
8.08,8.0,7.92,7.92,8.0,7.83,10.4,850.0,0,0,Taiwan,Natural,7.92
7.67,8.0,7.83,8.0,8.08,8.0,9.8,1600.0,0,5,Thailand,Natural,8.08
8.08,8.0,7.83,8.17,7.75,7.83,11.3,1350.0,0,2,Colombia,Other,8.0
7.83,8.0,7.92,8.0,8.0,7.92,10.6,1250.0,0,0,Taiwan,Washed,7.92
7.83,8.08,7.83,7.92,8.0,7.83,11.3,1250.0,2,3,Brazil,Natural,8.0
7.92,7.92,8.0,7.92,7.83,7.92,9.1,1300.0,0,2,Taiwan,Natural,8.0
